Title,Description,Priority,Status,Assignee,Labels,Estimate
ACT-031 POST /v1/integrations/install,"Launch 1 - Action Wallet import seed

Ticket Key: ACT-031
Epic: Public API
Owner: Lane A
Owner Lane: Lane A - Control plane/backend
Sprint: Sprint 4
Area: Public API
Launch Critical: true
Action Type: buy, cancel/recover
Channel: platform, Claude MCP, OpenClaw
Dependencies: ACT-014, ACT-015

Why
Reference hosts need a bounded install endpoint before external traffic is allowed.

Scope
- Register host installation to a user account
- Persist install metadata and trust binding
- Return install status needed by host setup

Out of Scope
- Open marketplace discovery or listing
- Enterprise connector provisioning

Acceptance Criteria
- Host installations can be registered
- Install metadata is persisted
- Install status is returned to the host

Tests
- unit: handler validation
- integration: end-to-end API lifecycle
- smoke: staged host flow

Metrics
- install-to-first-approval time
- approval completion rate
- finalize latency

Rollback Note
Ship behind versioned schema or API gates and keep old read paths until backfill and smoke coverage pass.",Highest,Backlog,,"launch-1,action-wallet,epic-c,lane-a,act-031,sprint-4,action-buy,action-cancel-recover,channel-platform,channel-claude-mcp,channel-openclaw",3
ACT-032 API auth middleware,"Launch 1 - Action Wallet import seed

Ticket Key: ACT-032
Epic: Public API
Owner: Lane A
Owner Lane: Lane A - Control plane/backend
Sprint: Sprint 1
Area: Public API
Launch Critical: true
Action Type: buy, cancel/recover
Channel: platform, Claude MCP, OpenClaw
Dependencies: ACT-010, ACT-015

Why
The API must distinguish host, user, and operator contexts before any launch action mutates state.

Scope
- Implement host auth middleware
- Implement user auth middleware
- Implement operator auth hooks for internal routes

Out of Scope
- Anonymous write access
- Ad hoc per-route auth checks

Acceptance Criteria
- Host auth middleware exists
- User auth middleware exists
- Operator auth hooks exist for internal routes

Tests
- unit: handler validation
- integration: end-to-end API lifecycle
- smoke: staged host flow

Metrics
- install-to-first-approval time
- approval completion rate
- finalize latency

Rollback Note
Ship behind versioned schema or API gates and keep old read paths until backfill and smoke coverage pass.",Highest,Backlog,,"launch-1,action-wallet,epic-c,lane-a,act-032,sprint-1,action-buy,action-cancel-recover,channel-platform,channel-claude-mcp,channel-openclaw",3
ACT-033 Idempotency middleware,"Launch 1 - Action Wallet import seed

Ticket Key: ACT-033
Epic: Public API
Owner: Lane A
Owner Lane: Lane A - Control plane/backend
Sprint: Sprint 2
Area: Public API
Launch Critical: true
Action Type: buy, cancel/recover
Channel: platform, Claude MCP, OpenClaw
Dependencies: ACT-007

Why
Replay-safe create and finalize behavior needs one shared middleware layer.

Scope
- Apply idempotency middleware to create and finalize endpoints
- Store and replay stable responses
- Expose deterministic duplicate handling

Out of Scope
- Endpoint-specific duplicate suppression
- Best-effort idempotency behavior

Acceptance Criteria
- Create and finalize endpoints use shared idempotency middleware
- Stable responses are replayed on duplicate keys
- Duplicate handling is deterministic

Tests
- unit: handler validation
- integration: end-to-end API lifecycle
- smoke: staged host flow

Metrics
- install-to-first-approval time
- approval completion rate
- finalize latency

Rollback Note
Ship behind versioned schema or API gates and keep old read paths until backfill and smoke coverage pass.",Highest,Backlog,,"launch-1,action-wallet,epic-c,lane-a,act-033,sprint-2,action-buy,action-cancel-recover,channel-platform,channel-claude-mcp,channel-openclaw",2
ACT-034 Rate limiting,"Launch 1 - Action Wallet import seed

Ticket Key: ACT-034
Epic: Public API
Owner: Lane A
Owner Lane: Lane A - Control plane/backend
Sprint: Sprint 3
Area: Public API
Launch Critical: true
Action Type: buy, cancel/recover
Channel: platform, Claude MCP, OpenClaw
Dependencies: ACT-032

Why
Launch hosts and users need bounded abuse protection before real traffic and money flows arrive.

Scope
- Apply rate limits per host and per user
- Emit actionable reject reasons
- Surface limit configuration for ops

Out of Scope
- Global throttles with no principal context
- Adaptive risk scoring beyond launch scope

Acceptance Criteria
- Host rate limits exist
- User rate limits exist
- Reject reasons are surfaced

Tests
- unit: handler validation
- integration: end-to-end API lifecycle
- smoke: staged host flow

Metrics
- install-to-first-approval time
- approval completion rate
- finalize latency

Rollback Note
Ship behind versioned schema or API gates and keep old read paths until backfill and smoke coverage pass.",Highest,Backlog,,"launch-1,action-wallet,epic-c,lane-a,act-034,sprint-3,action-buy,action-cancel-recover,channel-platform,channel-claude-mcp,channel-openclaw",2
ACT-035 API docs generation,"Launch 1 - Action Wallet import seed

Ticket Key: ACT-035
Epic: Public API
Owner: Lane A
Owner Lane: Lane A - Control plane/backend
Sprint: Sprint 4
Area: Public API
Launch Critical: true
Action Type: buy, cancel/recover
Channel: platform, Claude MCP, OpenClaw
Dependencies: ACT-020, ACT-030, ACT-031, ACT-032

Why
External hosts cannot integrate quickly if the API surface is only implied by code.

Scope
- Generate OpenAPI or equivalent docs for launch endpoints
- Publish auth and idempotency expectations
- Keep docs aligned with the shipped API

Out of Scope
- Docs for Phase 1.5 endpoints
- Hand-maintained docs that drift from code

Acceptance Criteria
- Launch endpoints are documented
- Auth and idempotency expectations are published
- Docs stay aligned with the API surface

Tests
- unit: handler validation
- integration: end-to-end API lifecycle
- smoke: staged host flow

Metrics
- install-to-first-approval time
- approval completion rate
- finalize latency

Rollback Note
Ship behind versioned schema or API gates and keep old read paths until backfill and smoke coverage pass.",Highest,Backlog,,"launch-1,action-wallet,epic-c,lane-a,act-035,sprint-4,action-buy,action-cancel-recover,channel-platform,channel-claude-mcp,channel-openclaw",2
ACT-040 Wallet envelope model,"Launch 1 - Action Wallet import seed

Ticket Key: ACT-040
Epic: Action Wallet and policy engine
Owner: Lane A
Owner Lane: Lane A - Control plane/backend
Sprint: Sprint 1
Area: Action Wallet and policy engine
Launch Critical: true
Action Type: buy, cancel/recover
Channel: platform
Dependencies: ACT-001, ACT-004

Why
The wallet envelope defines the actual execution boundary users approve.

Scope
- Store cap, currency, vendor or domain allowlist, action type, expiry, evidence requirements, and standing rule source
- Bind the envelope to grants and approvals
- Expose one canonical wallet read model

Out of Scope
- Multi-currency settlement logic
- Enterprise policy pack support

Acceptance Criteria
- All listed wallet fields are stored
- Wallet binds to grants and approvals
- One canonical wallet read model exists

Tests
- unit: policy and grant logic
- integration: approve or deny flows
- smoke: bounded execution path

Metrics
- approval completion rate
- out-of-scope execution attempts
- grant validation failures

Rollback Note
Ship behind versioned schema or API gates and keep old read paths until backfill and smoke coverage pass.",Highest,Backlog,,"launch-1,action-wallet,epic-d,lane-a,act-040,sprint-1,action-buy,action-cancel-recover,channel-platform",3
ACT-041 Standing rule engine,"Launch 1 - Action Wallet import seed

Ticket Key: ACT-041
Epic: Action Wallet and policy engine
Owner: Lane A
Owner Lane: Lane A - Control plane/backend
Sprint: Sprint 1
Area: Action Wallet and policy engine
Launch Critical: true
Action Type: buy, cancel/recover
Channel: platform
Dependencies: ACT-040

Why
Launch hosts need repeat approvals to shrink without opening uncapped automation.

Scope
- Allow rules such as buy under X for host Y
- Always ask on cancel or recover
- Restrict rules to certain vendors or domains

Out of Scope
- Cross-host marketplace rules
- Rule types beyond launch actions

Acceptance Criteria
- Users can create buy-under-cap rules for one host
- Users can force always-ask on cancel or recover
- Users can limit rules to certain vendors or domains

Tests
- unit: policy and grant logic
- integration: approve or deny flows
- smoke: bounded execution path

Metrics
- approval completion rate
- out-of-scope execution attempts
- grant validation failures

Rollback Note
Ship behind versioned schema or API gates and keep old read paths until backfill and smoke coverage pass.",Highest,Backlog,,"launch-1,action-wallet,epic-d,lane-a,act-041,sprint-1,action-buy,action-cancel-recover,channel-platform",5
ACT-042 Policy evaluation service,"Launch 1 - Action Wallet import seed

Ticket Key: ACT-042
Epic: Action Wallet and policy engine
Owner: Lane A
Owner Lane: Lane A - Control plane/backend
Sprint: Sprint 1
Area: Action Wallet and policy engine
Launch Critical: true
Action Type: buy, cancel/recover
Channel: platform
Dependencies: ACT-040, ACT-041

Why
Every launch intent needs one service that chooses auto-approve, require approval, or deny.

Scope
- Evaluate intent plus user plus host against wallet envelope and standing rules
- Return auto-approve, require approval, or deny
- Emit reason codes for blocked outcomes

Out of Scope
- Open-ended policy scripting
- Dynamic risk scoring beyond launch rules

Acceptance Criteria
- Policy evaluation uses intent, user, and host inputs
- Only auto-approve, require approval, or deny outcomes are returned
- Blocked outcomes include reason codes

Tests
- unit: policy and grant logic
- integration: approve or deny flows
- smoke: bounded execution path

Metrics
- approval completion rate
- out-of-scope execution attempts
- grant validation failures

Rollback Note
Ship behind versioned schema or API gates and keep old read paths until backfill and smoke coverage pass.",Highest,Backlog,,"launch-1,action-wallet,epic-d,lane-a,act-042,sprint-1,action-buy,action-cancel-recover,channel-platform",5
ACT-043 Scope mismatch blocker,"Launch 1 - Action Wallet import seed

Ticket Key: ACT-043
Epic: Action Wallet and policy engine
Owner: Lane A
Owner Lane: Lane A - Control plane/backend
Sprint: Sprint 1
Area: Action Wallet and policy engine
Launch Critical: true
Action Type: buy, cancel/recover
Channel: platform
Dependencies: ACT-042, ACT-044

Why
Finalize has to fail closed when the run drifts beyond what the user actually approved.

Scope
- Reject vendor mismatches
- Reject spend overruns
- Reject wrong action types and expired grants

Out of Scope
- Warning-only mismatch handling
- Post-completion mismatch detection only

Acceptance Criteria
- Vendor mismatches are rejected
- Spend overruns are rejected
- Wrong action type and expired grant paths are rejected

Tests
- unit: policy and grant logic
- integration: approve or deny flows
- smoke: bounded execution path

Metrics
- approval completion rate
- out-of-scope execution attempts
- grant validation failures

Rollback Note
Ship behind versioned schema or API gates and keep old read paths until backfill and smoke coverage pass.",Highest,Backlog,,"launch-1,action-wallet,epic-d,lane-a,act-043,sprint-1,action-buy,action-cancel-recover,channel-platform",3
ACT-044 Grant minting service,"Launch 1 - Action Wallet import seed

Ticket Key: ACT-044
Epic: Action Wallet and policy engine
Owner: Lane A
Owner Lane: Lane A - Control plane/backend
Sprint: Sprint 1
Area: Action Wallet and policy engine
Launch Critical: true
Action Type: buy, cancel/recover
Channel: platform
Dependencies: ACT-004, ACT-042, ACT-024

Why
Approved requests need a short-lived grant issued from one trusted path.

Scope
- Create short-lived execution grants from approvals
- Bind grant data to approval and wallet envelope
- Return expiry and nonce metadata

Out of Scope
- Long-lived reusable grants
- Grant minting outside approval flow

Acceptance Criteria
- Short-lived execution grants are created
- Grant data binds to approval and wallet envelope
- Expiry and nonce metadata are returned

Tests
- unit: policy and grant logic
- integration: approve or deny flows
- smoke: bounded execution path

Metrics
- approval completion rate
- out-of-scope execution attempts
- grant validation failures

Rollback Note
Ship behind versioned schema or API gates and keep old read paths until backfill and smoke coverage pass.",Highest,Backlog,,"launch-1,action-wallet,epic-d,lane-a,act-044,sprint-1,action-buy,action-cancel-recover,channel-platform",3
ACT-045 Grant revocation service,"Launch 1 - Action Wallet import seed

Ticket Key: ACT-045
Epic: Action Wallet and policy engine
Owner: Lane A
Owner Lane: Lane A - Control plane/backend
Sprint: Sprint 1
Area: Action Wallet and policy engine
Launch Critical: true
Action Type: buy, cancel/recover
Channel: platform
Dependencies: ACT-044

Why
Operators and users need a way to shut off grants before execution when trust or context changes.

Scope
- Revoke grants on user action
- Revoke grants on rule change
- Revoke grants on dispute hold or expiration

Out of Scope
- Retroactive mutation of completed grants
- Bulk policy backfills

Acceptance Criteria
- User action can revoke grants
- Rule changes can revoke grants
- Dispute hold and expiration revoke grants

Tests
- unit: policy and grant logic
- integration: approve or deny flows
- smoke: bounded execution path

Metrics
- approval completion rate
- out-of-scope execution attempts
- grant validation failures

Rollback Note
Ship behind versioned schema or API gates and keep old read paths until backfill and smoke coverage pass.",Highest,Backlog,,"launch-1,action-wallet,epic-d,lane-a,act-045,sprint-1,action-buy,action-cancel-recover,channel-platform",3
ACT-046 Delegation lineage placeholder,"Launch 1 - Action Wallet import seed

Ticket Key: ACT-046
Epic: Action Wallet and policy engine
Owner: Lane A
Owner Lane: Lane A - Control plane/backend
Sprint: Sprint 1
Area: Action Wallet and policy engine
Launch Critical: true
Action Type: buy, cancel/recover
Channel: platform
Dependencies: ACT-004

Why
Even without open downstream delegation at launch, the grant model needs a stable lineage slot now.

Scope
- Add a minimal delegation lineage reference
- Keep the model audit-friendly for future downstream calls
- Avoid changing launch grant semantics later

Out of Scope
- Open downstream multi-agent delegation
- Lineage traversal tooling

Acceptance Criteria
- Grant includes a minimal lineage reference
- Lineage is audit-friendly
- No extra downstream delegation behavior ships in v1

Tests
- unit: policy and grant logic
- integration: approve or deny flows
- smoke: bounded execution path

Metrics
- approval completion rate
- out-of-scope execution attempts
- grant validation failures

Rollback Note
Ship behind versioned schema or API gates and keep old read paths until backfill and smoke coverage pass.",Highest,Backlog,,"launch-1,action-wallet,epic-d,lane-a,act-046,sprint-1,action-buy,action-cancel-recover,channel-platform",2
ACT-050 Payment method vault integration,"Launch 1 - Action Wallet import seed

Ticket Key: ACT-050
Epic: Payments and settlement
Owner: Lane A
Owner Lane: Lane A - Control plane/backend
Sprint: Sprint 3
Area: Payments and settlement
Launch Critical: true
Action Type: buy
Channel: platform
Dependencies: None

Why
Launch buy flows need one managed payment provider before real money can move.

Scope
- Integrate one managed payment provider
- Store vaulted payment references
- Expose provider status needed by wallet and operator flows

Out of Scope
- Multiple launch payment providers
- BYO payment rails

Acceptance Criteria
- One managed provider is integrated
- Vaulted payment references are stored
- Provider status is exposed

Tests
- unit: settlement transitions
- integration: provider auth or capture or refund
- smoke: staged buy and cancel flows

Metrics
- action GMV
- take rate revenue
- refund exposure
- refund required rate

Rollback Note
Ship behind versioned schema or API gates and keep old read paths until backfill and smoke coverage pass.",Highest,Backlog,,"launch-1,action-wallet,epic-e,lane-a,act-050,sprint-3,action-buy,channel-platform",5
ACT-051 Add payment method UI + API,"Launch 1 - Action Wallet import seed

Ticket Key: ACT-051
Epic: Payments and settlement
Owner: Lane A
Owner Lane: Lane A - Control plane/backend
Sprint: Sprint 3
Area: Payments and settlement
Launch Critical: true
Action Type: buy
Channel: platform
Dependencies: ACT-050, ACT-013

Why
Users need a bounded way to add, list, remove, and default payment methods under step-up auth.

Scope
- Add payment method UI and API
- List vaulted payment methods
- Remove and set default methods

Out of Scope
- Enterprise billing admin features
- Alternative launch payment rails

Acceptance Criteria
- Users can add a payment method
- Users can list remove and set a default method
- Step-up auth protects first add

Tests
- unit: settlement transitions
- integration: provider auth or capture or refund
- smoke: staged buy and cancel flows

Metrics
- action GMV
- take rate revenue
- refund exposure
- refund required rate

Rollback Note
Ship behind versioned schema or API gates and keep old read paths until backfill and smoke coverage pass.",Highest,Backlog,,"launch-1,action-wallet,epic-e,lane-a,act-051,sprint-3,action-buy,channel-platform",3
ACT-052 Pre-authorization / hold flow,"Launch 1 - Action Wallet import seed

Ticket Key: ACT-052
Epic: Payments and settlement
Owner: Lane A
Owner Lane: Lane A - Control plane/backend
Sprint: Sprint 3
Area: Payments and settlement
Launch Critical: true
Action Type: buy
Channel: platform
Dependencies: ACT-050, ACT-040, ACT-044

Why
Buy runs need a hold path that respects the approved spend envelope before execution completes.

Scope
- Place a pre-authorization or hold for buy actions
- Bind holds to wallet cap and grant
- Store hold status for later capture or release

Out of Scope
- Capture before verification
- Unbounded auth amounts

Acceptance Criteria
- Buy actions can place a hold
- Hold amounts respect wallet cap and grant
- Hold status is stored for later settlement

Tests
- unit: settlement transitions
- integration: provider auth or capture or refund
- smoke: staged buy and cancel flows

Metrics
- action GMV
- take rate revenue
- refund exposure
- refund required rate

Rollback Note
Ship behind versioned schema or API gates and keep old read paths until backfill and smoke coverage pass.",Highest,Backlog,,"launch-1,action-wallet,epic-e,lane-a,act-052,sprint-3,action-buy,channel-platform",3
ACT-053 Capture flow,"Launch 1 - Action Wallet import seed

Ticket Key: ACT-053
Epic: Payments and settlement
Owner: Lane A
Owner Lane: Lane A - Control plane/backend
Sprint: Sprint 3
Area: Payments and settlement
Launch Critical: true
Action Type: buy
Channel: platform
Dependencies: ACT-052, ACT-063, ACT-027

Why
Launch integrity depends on capture occurring only after the verifier passes.

Scope
- Capture held funds after verification pass
- Bind capture outcome to finalize result
- Store capture errors for operator handling

Out of Scope
- Capture before verification pass
- Manual capture outside the launch state machine

Acceptance Criteria
- Funds capture only after verification pass
- Capture outcome binds to finalize result
- Capture errors are stored

Tests
- unit: settlement transitions
- integration: provider auth or capture or refund
- smoke: staged buy and cancel flows

Metrics
- action GMV
- take rate revenue
- refund exposure
- refund required rate

Rollback Note
Ship behind versioned schema or API gates and keep old read paths until backfill and smoke coverage pass.",Highest,Backlog,,"launch-1,action-wallet,epic-e,lane-a,act-053,sprint-3,action-buy,channel-platform",3
ACT-054 Refund flow,"Launch 1 - Action Wallet import seed

Ticket Key: ACT-054
Epic: Payments and settlement
Owner: Lane A
Owner Lane: Lane A - Control plane/backend
Sprint: Sprint 3
Area: Payments and settlement
Launch Critical: true
Action Type: buy, cancel/recover
Channel: platform
Dependencies: ACT-053, ACT-083

Why
Operator recourse requires a deterministic refund path tied back to the same money record.

Scope
- Support full or partial operator-triggered refunds
- Bind refunds to settlement ledger entries
- Expose refund status to receipts and disputes

Out of Scope
- Self-serve buyer refund rules beyond launch
- Automated refund policies

Acceptance Criteria
- Operators can trigger full or partial refunds
- Refunds bind to the settlement ledger
- Refund status is visible to receipts and disputes

Tests
- unit: settlement transitions
- integration: provider auth or capture or refund
- smoke: staged buy and cancel flows

Metrics
- action GMV
- take rate revenue
- refund exposure
- refund required rate

Rollback Note
Ship behind versioned schema or API gates and keep old read paths until backfill and smoke coverage pass.",Highest,Backlog,,"launch-1,action-wallet,epic-e,lane-a,act-054,sprint-3,action-buy,action-cancel-recover,channel-platform",3
ACT-055 Settlement ledger tables,"Launch 1 - Action Wallet import seed

Ticket Key: ACT-055
Epic: Payments and settlement
Owner: Lane A
Owner Lane: Lane A - Control plane/backend
Sprint: Sprint 3
Area: Payments and settlement
Launch Critical: true
Action Type: buy, cancel/recover
Channel: platform
Dependencies: ACT-050

Why
Money state must be auditable as auth, capture, refund, failure, and dispute hold events.

Scope
- Track auth, capture, refund, failure, and dispute hold events
- Create one ledger model for buy and cancel or recover flows
- Keep ledger records idempotent

Out of Scope
- General accounting exports
- Multi-rail settlement support

Acceptance Criteria
- Ledger tracks auth, capture, refund, failure, and dispute hold
- One ledger model covers launch money states
- Ledger records are idempotent

Tests
- unit: settlement transitions
- integration: provider auth or capture or refund
- smoke: staged buy and cancel flows

Metrics
- action GMV
- take rate revenue
- refund exposure
- refund required rate

Rollback Note
Ship behind versioned schema or API gates and keep old read paths until backfill and smoke coverage pass.",Highest,Backlog,,"launch-1,action-wallet,epic-e,lane-a,act-055,sprint-3,action-buy,action-cancel-recover,channel-platform",3
ACT-056 Payment webhook ingestion,"Launch 1 - Action Wallet import seed

Ticket Key: ACT-056
Epic: Payments and settlement
Owner: Lane A
Owner Lane: Lane A - Control plane/backend
Sprint: Sprint 3
Area: Payments and settlement
Launch Critical: true
Action Type: buy
Channel: platform
Dependencies: ACT-050, ACT-055

Why
Provider events must reconcile into Nooterra state or settlement and receipts will drift.

Scope
- Ingest payment provider webhooks
- Reconcile provider events into settlement ledger state
- Expose mismatch cases for ops

Out of Scope
- Webhooks for multiple providers
- Best-effort webhook processing with silent drops

Acceptance Criteria
- Provider webhooks are ingested
- Webhook events reconcile into settlement state
- Mismatch cases are surfaced for ops

Tests
- unit: settlement transitions
- integration: provider auth or capture or refund
- smoke: staged buy and cancel flows

Metrics
- action GMV
- take rate revenue
- refund exposure
- refund required rate

Rollback Note
Ship behind versioned schema or API gates and keep old read paths until backfill and smoke coverage pass.",Highest,Backlog,,"launch-1,action-wallet,epic-e,lane-a,act-056,sprint-3,action-buy,channel-platform",3
ACT-057 Failed payment states,"Launch 1 - Action Wallet import seed

Ticket Key: ACT-057
Epic: Payments and settlement
Owner: Lane A
Owner Lane: Lane A - Control plane/backend
Sprint: Sprint 3
Area: Payments and settlement
Launch Critical: true
Action Type: buy
Channel: platform
Dependencies: ACT-052, ACT-056

Why
Users and operators need visible failure reasons and a bounded retry path when payment fails.

Scope
- Map provider failures to user-visible reasons
- Expose retry path for eligible failures
- Store failure state for receipts and ops

Out of Scope
- Risk scoring for retries
- Support for multiple provider-specific retry flows

Acceptance Criteria
- Users see failure reasons
- Eligible failures expose a retry path
- Failure state is stored for receipts and ops

Tests
- unit: settlement transitions
- integration: provider auth or capture or refund
- smoke: staged buy and cancel flows

Metrics
- action GMV
- take rate revenue
- refund exposure
- refund required rate

Rollback Note
Ship behind versioned schema or API gates and keep old read paths until backfill and smoke coverage pass.",Highest,Backlog,,"launch-1,action-wallet,epic-e,lane-a,act-057,sprint-3,action-buy,channel-platform",2
ACT-058 Cancel/recover settlement rules,"Launch 1 - Action Wallet import seed

Ticket Key: ACT-058
Epic: Payments and settlement
Owner: Lane A
Owner Lane: Lane A - Control plane/backend
Sprint: Sprint 3
Area: Payments and settlement
Launch Critical: true
Action Type: cancel/recover
Channel: platform
Dependencies: ACT-055, ACT-060

Why
Cancel or recover actions need money-state handling even when there is no capture.

Scope
- Support refund or recovery metadata on cancel or recover runs
- Bind non-purchase money state into settlement records
- Define how recovered amounts surface in receipts

Out of Scope
- Charge creation for cancel or recover flows
- Collections or debt workflows

Acceptance Criteria
- Cancel or recover runs can store refund or recovery metadata
- Non-purchase money state is bound into settlement
- Recovered amounts surface in receipts

Tests
- unit: settlement transitions
- integration: provider auth or capture or refund
- smoke: staged buy and cancel flows

Metrics
- action GMV
- take rate revenue
- refund exposure
- refund required rate

Rollback Note
Ship behind versioned schema or API gates and keep old read paths until backfill and smoke coverage pass.",Highest,Backlog,,"launch-1,action-wallet,epic-e,lane-a,act-058,sprint-3,action-cancel-recover,channel-platform",2
ACT-059 Settlement-to-receipt binding,"Launch 1 - Action Wallet import seed

Ticket Key: ACT-059
Epic: Payments and settlement
Owner: Lane A
Owner Lane: Lane A - Control plane/backend
Sprint: Sprint 3
Area: Payments and settlement
Launch Critical: true
Action Type: buy, cancel/recover
Channel: platform
Dependencies: ACT-053, ACT-054, ACT-055, ACT-065

Why
Receipts need final money state or users cannot tell whether value actually moved.

Scope
- Bind spend and settlement state into receipts
- Expose auth, capture, refund, or recovery status
- Keep settlement binding deterministic

Out of Scope
- Separate finance-only receipt trail
- Human-only settlement summaries

Acceptance Criteria
- Receipts show spend and final money state
- Auth capture refund or recovery status is exposed
- Settlement binding is deterministic

Tests
- unit: settlement transitions
- integration: provider auth or capture or refund
- smoke: staged buy and cancel flows

Metrics
- action GMV
- take rate revenue
- refund exposure
- refund required rate

Rollback Note
Ship behind versioned schema or API gates and keep old read paths until backfill and smoke coverage pass.",Highest,Backlog,,"launch-1,action-wallet,epic-e,lane-a,act-059,sprint-3,action-buy,action-cancel-recover,channel-platform",2
ACT-060 Evidence bundle schema registry,"Launch 1 - Action Wallet import seed

Ticket Key: ACT-060
Epic: Evidence and verification
Owner: Lane A
Owner Lane: Lane A - Control plane/backend
Sprint: Sprint 2
Area: Evidence and verification
Launch Critical: true
Action Type: buy, cancel/recover
Channel: platform
Dependencies: None

Why
Verification cannot be trusted unless each launch action has an explicit evidence contract.

Scope
- Define required evidence for buy
- Define required evidence for cancel or recover
- Version evidence bundle schemas per action type

Out of Scope
- Open-ended evidence submission
- Evidence schemas for Phase 1.5 actions

Acceptance Criteria
- Buy evidence requirements are defined
- Cancel or recover evidence requirements are defined
- Evidence schemas are versioned

Tests
- unit: verifier rules and schemas
- integration: upload to finalize path
- smoke: receipt issuance and insufficiency path

Metrics
- receipt coverage
- evidence insufficiency rate
- verifier fail rate

Rollback Note
Ship behind versioned schema or API gates and keep old read paths until backfill and smoke coverage pass.",Highest,Backlog,,"launch-1,action-wallet,epic-f,lane-a,act-060,sprint-2,action-buy,action-cancel-recover,channel-platform",3
ACT-061 Evidence upload service,"Launch 1 - Action Wallet import seed

Ticket Key: ACT-061
Epic: Evidence and verification
Owner: Lane A
Owner Lane: Lane A - Control plane/backend
Sprint: Sprint 2
Area: Evidence and verification
Launch Critical: true
Action Type: buy, cancel/recover
Channel: platform
Dependencies: ACT-060

Why
Hosts need one bounded service to attach artifacts and metadata before verification.

Scope
- Store evidence metadata
- Link artifacts to evidence bundles
- Bind uploads to grants and action type

Out of Scope
- Direct artifact writes without metadata
- Bulk artifact ingestion pipelines

Acceptance Criteria
- Evidence metadata is stored
- Artifacts link to evidence bundles
- Uploads bind to grants and action type

Tests
- unit: verifier rules and schemas
- integration: upload to finalize path
- smoke: receipt issuance and insufficiency path

Metrics
- receipt coverage
- evidence insufficiency rate
- verifier fail rate

Rollback Note
Ship behind versioned schema or API gates and keep old read paths until backfill and smoke coverage pass.",Highest,Backlog,,"launch-1,action-wallet,epic-f,lane-a,act-061,sprint-2,action-buy,action-cancel-recover,channel-platform",3
ACT-062 Artifact storage integration,"Launch 1 - Action Wallet import seed

Ticket Key: ACT-062
Epic: Evidence and verification
Owner: Lane A
Owner Lane: Lane A - Control plane/backend
Sprint: Sprint 2
Area: Evidence and verification
Launch Critical: true
Action Type: buy, cancel/recover
Channel: platform
Dependencies: ACT-061

Why
Evidence storage needs signed upload and download paths before external hosts can attach proof safely.

Scope
- Add signed upload flows
- Add signed download flows
- Keep artifact references stable for verification

Out of Scope
- Open public artifact URLs
- Long-lived unsigned upload paths

Acceptance Criteria
- Signed upload flows exist
- Signed download flows exist
- Artifact references remain stable

Tests
- unit: verifier rules and schemas
- integration: upload to finalize path
- smoke: receipt issuance and insufficiency path

Metrics
- receipt coverage
- evidence insufficiency rate
- verifier fail rate

Rollback Note
Ship behind versioned schema or API gates and keep old read paths until backfill and smoke coverage pass.",Highest,Backlog,,"launch-1,action-wallet,epic-f,lane-a,act-062,sprint-2,action-buy,action-cancel-recover,channel-platform",2
ACT-063 Verifier engine v1,"Launch 1 - Action Wallet import seed

Ticket Key: ACT-063
Epic: Evidence and verification
Owner: Lane A
Owner Lane: Lane A - Control plane/backend
Sprint: Sprint 2
Area: Evidence and verification
Launch Critical: true
Action Type: buy, cancel/recover
Channel: platform
Dependencies: ACT-060, ACT-061, ACT-062

Why
The verifier is the core trust gate between submitted evidence and final completion.

Scope
- Implement rules-based verifier logic
- Allow optional secondary model check without making it the source of truth
- Return deterministic verdicts for the same evidence bundle

Out of Scope
- Model-only verification
- Custom verifier stacks per host

Acceptance Criteria
- Verifier runs on submitted evidence bundles
- Optional secondary model check is bounded
- Same evidence bundle yields deterministic verdicts

Tests
- unit: verifier rules and schemas
- integration: upload to finalize path
- smoke: receipt issuance and insufficiency path

Metrics
- receipt coverage
- evidence insufficiency rate
- verifier fail rate

Rollback Note
Ship behind versioned schema or API gates and keep old read paths until backfill and smoke coverage pass.",Highest,Backlog,,"launch-1,action-wallet,epic-f,lane-a,act-063,sprint-2,action-buy,action-cancel-recover,channel-platform",5
ACT-064 Verifier decision states,"Launch 1 - Action Wallet import seed

Ticket Key: ACT-064
Epic: Evidence and verification
Owner: Lane A
Owner Lane: Lane A - Control plane/backend
Sprint: Sprint 2
Area: Evidence and verification
Launch Critical: true
Action Type: buy, cancel/recover
Channel: platform
Dependencies: ACT-063

Why
Operators and hosts need stable verdict states to drive finalize, rescue, and receipts.

Scope
- Define pass, fail, insufficient evidence, and operator review states
- Map each state to downstream behavior
- Expose states through API and operator surfaces

Out of Scope
- Additional verdict states for launch
- Free-form verifier messages as state

Acceptance Criteria
- Verifier supports pass fail insufficient evidence and operator review
- Each state maps to downstream behavior
- States are exposed through API and operator surfaces

Tests
- unit: verifier rules and schemas
- integration: upload to finalize path
- smoke: receipt issuance and insufficiency path

Metrics
- receipt coverage
- evidence insufficiency rate
- verifier fail rate

Rollback Note
Ship behind versioned schema or API gates and keep old read paths until backfill and smoke coverage pass.",Highest,Backlog,,"launch-1,action-wallet,epic-f,lane-a,act-064,sprint-2,action-buy,action-cancel-recover,channel-platform",2
